Продукт,Белки,Жиры,Углеводы,Калорийность
Колбаса полукопченая Останкино салями Венская,10.0,37.0,0.0,390
Колбаса полукопченая полтавская,16.4,39.0,0.0,417
Колбаса полукопченая салями любительская,12.0,50.0,0.0,498
Колбаса полукопченая таллиннская,17.1,33.8,0.2,373
Колбаса полукопченая украинская,16.5,34.4,0.0,376
Колбаса сыровяленая Дымов салями Милано,21.0,28.0,2.0,344
Колбаса сыровяленая Мясницкий ряд Милано нарезка,15.0,45.0,0.0,465
Колбаса сыровяленая полусухая Casademont Fuet Extra,24.0,32.0,0.0,384
Колбаса сыровяленая полусухая Casademont Fuet Extra с перцем,22.0,32.0,0.0,376
Колбаса сыровяленая полусухая Parlo Italiano Салями Милано,10.0,55.0,0.0,540
Колбаса сыровяленая полусухая Salumi di Bosco Салями традиционная,28.0,19.0,1.0,290
Колбаса сыровяленая полусухая Егорьевская ФКГ с трюфелем,16.0,40.0,1.0,428
Колбаса сыровяленая сальчичон,17.0,31.0,1.1,351
Колбаса сыровяленая суджук,30.3,37.9,0.0,463
Колбаса сыровяленая Сытный Дом Сопресатта из говядины,18.0,35.0,0.2,402
Колбаса сыровяленая чоризо,24.1,38.3,1.9,455
Колбаса сырокопченая брауншвейгская,27.7,42.2,0.2,491
Колбаса сырокопченая Доброгост Пепперони,16.0,46.0,0.0,480
Колбаса сырокопченая Дымов Пепперони,15.0,45.0,0.0,465
Колбаса сырокопченая зернистая,9.9,62.8,0.3,606
Колбаса сырокопченая Клинский свиная,11.0,57.3,0.0,568
Колбаса сырокопченая любительская,20.9,47.8,0.0,514
Колбаса сырокопченая московская,24.8,41.5,0.0,473
Колбаса сырокопченая Палермо Егорьевская ФКГ,16.0,42.0,0.0,446
Колбаса сырокопченая полусухая Велком Чикен салями №2,21.0,30.0,0.0,350
Колбаса сырокопченая полусухая Дымов коньячная,18.0,44.0,0.0,468
Колбаса сырокопченая Раменский деликатес Европейская,11.0,49.0,0.0,485
Колбаса сырокопченая Раменский деликатес Куриная деликатесная,16.0,44.0,2.0,470
Колбаса сырокопченая Раменский деликатес Салями Парма,20.0,42.0,0.0,460
Колбаса сырокопченая Раменский деликатес Сицилийская,15.0,48.0,0.0,490
Колбаса сырокопченая Салями Итальянская,11.0,63.0,0.0,631
Колбаса сырокопченая свиная,13.0,57.3,0.2,568
Колбаса сырокопченая сервелат,24.0,40.5,0.0,461
Колбаса сырокопченая сервелат Дымов,15.0,53.0,0.0,537
Колбаса сырокопченая столичная,24.0,43.4,0.0,487
Колбаса сырокопченая сухая Велком Миланская,20.0,34.0,0.0,390
Колбаса сырокопченая Черкизово Сальчичон,17.0,34.0,1.0,366
Колбаса сырокопченая Черкизово Салями Астория,25.0,30.0,5.0,390
Колбаса сырокопченая Эколь Халяль Говяжья нарезка,31.0,11.0,0.0,228
Колбаски Балканские Vego постные,18.0,14.0,3.1,213
Колбаски Ближние Горки Шашлычные из свинины,12.0,38.0,0.0,282
Колбаски домашние Ганна из мяса птицы,16.0,23.0,2.7,279
Колбаски Мираторг Black Angus классические,12.0,35.0,0.0,360
